,ID,Comment
746,              Томочка            ,👍🏵💮💐🌺🌺🌹❤
747,              our alivfiatin            ,Omggggg
748,              Souzan Akoum            ,I love you so mush❤❤❤❤❤
749,              LOLOSAN099 unu            ,😂😂😂😂😂
750,              Jareccy Fernanda Pérez Flores            ,Sos muy bonita 😭
751,              Asmaa Azraq            ,😋😋😋😋😋😋
752,              Walaa Lolo            ,بدنا ترجمة عربية
753,              Celeste Pupiales            ,I LOVE YOUR VIDEOSI AM HAPPY AND IT REMOVES MY STRESS TO SEE THEM
754,              Clarissa Valentina            ,"Apa kamu tidak mencoba makan di atas wajan panas, seperti nya akan semakin seruu 😳"
755,              ひらいもも            ,最高！
756,              Jaedine Belen            ,Omg hii
757,              Fucking China            ,"Hey, guys, he's not gonna do a live broadcast just because he eats and spits, you know that's all right?"
758,              ᄒ블링크            ,3등
759,              ดัทช์.            ,Like Boki so cute 🍅
760,              Nilam Khedekar            ,Love you😊😍
761,              Athena Spencer            ,❤❤❤👋😁
762,              love            ,it looks very delicious
763,              Ayesha Abadon            ,Omo😍
764,              한정식            ,먹고 있는데 왜 눈은 다른 쪽??
765,              Malak Ahmed            ,Who's also watching this while fasting?!?!?
766,              あ。あ。            ,ITZYのリュジンちゃんにそっくりですよね！！！
767,              นพมาศ สังข์ทรัพย์            ,ซับไทย
768,              Blesed Paye Cayas            ,Bokiii ❤️❤️❤️
769,              ayu aprilia            ,👍
770,              찌니어리            ,최고에요
771,              Toka __Chan            ,"Can you try Saudi Arabian food, please🥺"
772,              I U            ,天丼にふりかけかけるんだ！
773,              Magiie Hernandez            ,Super variedad de comida😋🍝
774,              기묘            ,이 텐동집이 어딘지 알고싶네요~~ ㅠㅠ
775,              상현            ,저 시험칩니다
776,              Daniela Gomez            ,Primer comentario en español. Bokki es la mejor.
777,              behlül gül            ,oh oh yarasın koçuma🤌❤️😍
778,              小松菜奈            ,天ぷらは醤油で食べたらあかん！天つゆや！！
779,              Mariane Sison            ,Wahhh so yummy food
780,              Lila Sari Viibryd            ,"i love her, she’s pretty too.. i wonder how slim mukbangers stay slim hehe"
781,              Indira Moldasheva            ,Ураа
782,              Aysel            ,🇹🇷❤️❤️❤️
783,              Nhi Hồ            ,I love you from vietnam🇻🇳
784,              밍잉앵            ,쮀엣ㅅ; 다이어트 끝나면 먹어야겠노
785,              혜린            ,1빠
786,              Lan Hankok            ,\ʕ•ﻌ•ʔ/thật tuyệt vời.
787,              KA TO_            ,天つゆでも食べてみて❤︎
788,              C            ,👍🏻
789,              Radha Guruswamy            ,Nice😋
790,              James Bond            ,"I'm not inspiring about the bulk of diff.foods w/c it's too yummy?but I'm I'm  excite upon your beauty,!can u go w / you a dinner"
791,              Pujiyani Yanipuji            ,I'm from Indonesia 🇲🇨✋
792,              Keisha Mae Jamero Lumahang            ,I'm always here to support my queen boki🦋🦋🦋🦋🦋
793,              Keerthi Jayesh1234            ,Boki❤️❤️😘
794,              Lily Cl            ,With what do you film yourself
795,              Vaishali Kshirsagar            ,Hello boki
796,              Shamyra Hodges            ,BOKI! BOKI!I LUV YOU!!!!!!!!!!!!
797,              Demie Jane Palayon            ,😋😋😋
798,              Nymka Gombo            ,i love you😘
799,              ʀ ᴇ ᴀ ʟ ᴀ ᴄ ᴏ ʀ ᴛ ᴇ            ,😍😍😍😍😍
800,              Gege cs            ,Laper bukk mana lagi puasa
801,              Lin da            ,❤💛💚💙💜
802,              Caitlyn Lang            ,MMMMMMMMMM
803,              김쏘피            ,안보고싶은데  왜자꾸뜨나
804,              Lizzy Woodhouse            ,I had to google tendon because I kept thinking of anatomy...
805,              Eru Saputra            ,Wah temboloknya gede juga uhhh
806,              Cicisri Mulyati            ,ga ada tempe goreng yaa
807,              Amar hijrat bin Abu samah            ,😘❤🥰😋😋😋😋
808,              yaoi aliii            ,❤️
809,              Jernielyn Jamolod            ,iLoveyou Boki ❤️
810,              Bona Spring            ,Second😂😂😂
811,              Shalini Shivakumar            ,Wow boki kimchi💕🤩💕🤩💕
812,              Z.S Eating show ASMR            ,wow amazing video
813,              Niles Gleichmann            ,who else watching in ramadan
814,              299리 루비            ,🥰🥰🥰🥰
815,              Mhae Apacionado            ,HIIIIIIIII
816,              Boss J&D            ,I love u boki
817,              Ytrang_đây            ,Mlem mlem
818,              菜々            ,日本語でもテロップ入れてほしい🥺
819,              스무스            ,"오늘도 영상 켜자마자 한국인 찾기,,, 실패"
820,              Phương Nguyễn            ,Hiiii
821,              basma hasan            ,Lav yoo
822,              Thảo Trang TV            ,Bt là lừa á nhưng vẫn coi
823,              Chicken Man-치킨맨            ,"I'm chicken man. I'm uploading videos one by one, believing that I'll become a famous eating YouTuber like Boki. Thank you for being such a good example.😄😄😄"
824,              Dikshitha.R            ,1st comment u look so beautiful
825,              Michelle Ann Buenaventura            ,Bokiiiiiii!!!!!!
826,              Masrevi Yuliandri            ,Emgnya bener dia suka muntahin makanan ?
827,              Mr Beast Channel            ,So Delicous 🛀💋💘
828,              Eat with Mohsin            ,Why Does This Looks So delicious 😭😭 The Way You Eat!!!! So Tempting 😋🤩♥️
829,              ted bear            ,😋
830,"              민지, 이릉            ",😚😚😚
831,              Jui akter jui Jui            ,Hi eaitng show asmr eating  beautiful waoo nice 🇧🇩 happy good day haaaaaaaaa 🇧🇩 Nice Nice Nice
832,              moonlqghts            ,Imagine getting heat from boki🙂
833,              sidra dana            ,I like you boki♥️ first mukbanger in the world 🌎
834,              Chanyin 2009            ,Boki❤
835,              Urvi Hagavane            ,Please try indian food ❤️❤️❤️
836,              Iksan Firmansah            ,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
837,              Boom 's            ,Im french and I love your channel 🥰😂
838,              its pani            ,aku jadi lapar😭😭😭❤️❤️❤️
839,              Salt&Pepper ASMR            ,Who else wants to eat what Boki is eating? Me!!! 👇👇👇
840,              Marami Marami            ,I'm first✨
841,              kageyana uwu            ,So yummy Boki 😊🤎
842,              Z            ,love you boki
843,              아니우다 aniuda            ,😀🤟😃
844,              Belle Recalde            ,I'M EARLY OMGGGG
845,              Agatha zoey Zabala            ,So satisfying
846,              the science world            ,Hi Boki iam your biggest fan
847,              ROJBİN EĞE            ,Merhaba❤️
848,              Klhery            ,Now I'm hungry ...
849,              魚安安            ,"안녕하세요. 저는 대만에서 왔고 여러분의 영상을 많이 봤습니다. 전에 가짜 음식을 먹었다 고해서 놀랐지 만 저 같은 진짜 사람이 있어도 정말 좋아해요. 당신과 나는 두 가지 특별한 비디오 클립을 확인해야합니다. 그것은 매우 어렵습니다. 난 그냥 열심히 영화를 만들 수 있도록 뭔가를 먹을 필요가 없다는 것을 말하고 싶다. 마찬가지로 나는 다음 날까지 식사를 마칠 수 없습니다,이 수도 하룻밤 음식을 좋아하지 않는 사람 수. 요점은 심지어 나와 함께, 나는 아직도 너무 많은 당신을 사랑한다는 것입니다. 나는 심각했다"
850,              angie lee            ,Deep fried crispy u cooked or bought?
851,              Global Foodie ASMR            ,Yummmmmmmm
852,              Ms Apple apple            ,i love boki
853,              dibyashree Bora            ,Dont know about others but my Left ear hurts by the sound of pouring coke. But i love watching her😌
854,              김동일            ,궁금해서 그런데 저렇게 많이먹고 위가 안좋다거나 하진 않으세요?걱정되는데
855,              Adrian De Vera            ,I love you so much
856,              Raymond Sanjose            ,Boki am a fan i need help i hope you read my comments 😊
857,              皇.            ,和食だ〜！って思ったけどふりかけぶっかけてたりコーラ飲んでたり素手で食べてたりで、いろんな国の人に「これが天丼」って思われるのか？と思ったらちょっと残念かも。めっちゃいろんな種類あって美味しそうだけど！
858,              quraisha            ,Your face look like ryujin itzy..
859,              Friendly Love            ,Боки зачем так много кушать то)
860,              Michelle Herrera            ,Me gusta cuando comes pastel xd
861,              Rithya Saji            ,👑 boki
862,              MANAL HAZRAT MUHAMMAD            ,Ahhhhhhh
863,              ROJBİN EĞE            ,Merhaba❤️❤️❤️
864,              Margareta Margareta            ,Hai mba boki saya suka makanan nya lop lop
865,              sofiita            ,hola algún comentario en español? JSKJSJS
866,              정다운            ,누님 못 보던 사이에 살이 좀 찌셨넹
867,              Aamina i guess            ,Ouh early 😃
868,              Ardina Febriana            ,Second 🥈
869,              뇌가있긴하냐?            ,몇주안본사이에 살좀찐거같네
870,              강빈            ,0:53 start eating
871,              wx_rosex            ,Abla bir günde kebap yermisin.
872,              Obito Uchiha            ,Russian subtitles please!!!
873,              Zana Ro            ,Boki eating is the best
874,              Ming Ben            ,坚决打击👊她的假吃，浪费食品，🈚️🈶️职业道德。
875,              Ming Ben            ,坚决打击👊她的假吃，浪费食品，🈚️🈶️职业道德。
876,              AXID YT            ,bigfan
877,              L3g1t            ,👽
878,              — Peachy peach            ,Help me I’m hungry 😣🤤
879,              chellenging girls            ,Biggest fan
880,              chie s            ,おいしそう🤤❤️
881,              THUNDER SHADY            ,Hii boki.... I really love your one shot mukbang your reactions are amazing ❤️❤️❤️❤️..... nd love you so much... Can you please on thier comment section..🙏🏼🙏🏼🙏🏼 I love your rections in one. Shot .. videos ....❤️❤️❤️
882,              Maureen Grace Rabino            ,Watching at 12 a.m. 😃😃😃
883,              Reesha Zargar            ,Amazing
884,              tajana Tesan Tomic            ,Hi i love you sooo much
885,              공유찬            ,난이제 복희용서함 글고 넘맜있어보임 ㅋㅋㅎㅎ
886,              Van Tai            ,Ngon quá🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳
887,              Respect SuperhandsomeJungkook            ,Jangan sampai ambil bukti lagi lagi ini haters
888,              Oh me Art lover            ,Can you eat Indian food next please..
889,              Isak Permana            ,Enak kali ya
890,              Lê Mẫn            ,.
891,              Kaniz Fatema            ,I'm a international fan of boki . Is you a international fan of boki
892,              MHD GAMER            ,Boki is my favourite
893,              lola            ,I am fasting 🤐
894,              夏日れもん            ,日本で天丼にふりかけをかける文化はないから。他国の人達誤解しないで。
895,              아뉜뒈에붸베베            ,항상 맛있게 드시고 항상 예쁘시고 음식 조합도 참 좋고 가리는 것 없이 다양한 음식 보여주시고 소리도 너무 너무 좋은데 당당하게 보기엔 아직 뭔가 좀 찜찜해...
896,              Alexia            ,Love u boki ❤️ wow amazing food darling
897,              Elen Melkumyan            ,"i like u too much, but how u can eat too much and do not get fat)))) what is your secret?"
898,              AJ YT gamer            ,First comment ❤️❤️❤️❤️
899,              Ebrar Tuzgöllü            ,Orucluyken bunu izliyorum çünkü ben bir malım
900,              いえろーひまわり            ,スプーンめっちゃ長いしでかい笑🥄韓国のってそうゆうものなのか
901,              Crazy granny            ,"WOW! Girl, how is it U don't weigh 200 lbs ? I can just look at food and gain 5 lbs.🦊🦊🦊"
902,              Amor Lapas            ,Her shirt was the same as last week ...
903,              のはらしんのすけ            ,飲み込む時のカットが多すぎる…
904,              ana toledo            ,Se olvidaron de los subtítulos en Español 😖
905,              dita foxx            ,She’s a messy eater today lol
906,              Edza Pangilinan            ,I love watching you
907,              Eman. Eletr206            ,Do you really eat all of these huge amount as a meal in one day
908,              милана Висханова            ,О
909,              Jui akter jui Jui            ,খুব ভালো লাগছে ওয়াও আর নতুন কিছু open koro channel open koro sisters ooooooo 😀 nice 🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩😀
910,              Nida Javed            ,Woo~ I'm the first 😝
911,              Rina Sirak            ,boki
912,              greysell Gómez            ,Alguien en Español 🤭
913,              le wolf            ,Big bites : I am i jock to you
914,              Vungsonkim Tangpua            ,Your the best
915,              Jui akter jui Jui            ,Nice nice Nice
916,              LOLOSAN099 unu            ,هاثولحعاثث
917,              7 •Ami            ,Your interpretation is the same as that of Vietnam
918,              김건영            ,아니 삼키는거쫌 보여봐 삼킬때만 편집 ㅆ 오지네
919,              Crafty Confections            ,My kids love to watch you eat!
920,              wo0bear _            ,omg tendon is one of my favourites!
921,              Oli G            ,i dont know if frying enoki mushrooms is good idea i mean theyre so soft and batter killing their taste😆
922,              chellenging girls            ,Who like boki video
923,              Angelica Solomon            ,Titan's mouth 😅
924,              みんゆん            ,日本来て欲しい
925,              pardon?            ,WHO LOVES BOKI? ❤️
926,              aldana            ,boki i love you u know
927,              aung zaw            ,Ramadan
928,              あなたのオレオとります            ,I love you Boki
929,              อานิสา โพธิโรจน์ 41            ,sub thai :'(
930,              Jaezel Parrera            ,I'm so early
931,              Hara Lee            ,Hi Boki's fans👇
932,              Sahar Adiban            ,"Hi,I'm Iranian"
933,              ASHLEY VENCITO            ,Wow!!!
934,              Lily Cl            ,So cool
935,              Hanna Sabado            ,Hi boki.
936,              Asllie Nicdao            ,hi bokii
937,              Mj Manansala            ,boki wants to laugh😭😭
938,              Raz Raz            ,Omg🥺🙃
939,              Naz Koca            ,Ok guys I'm hungry
940,              Yareilis Santiago-Campos            ,for some reason there should be a boki cult...just saying...
941,              Jisoo Is jisoo            ,Second and hi
942,              Sonia Briceñp            ,Será verdad que le cabe tanta comida
943,              Nadhifa Aqma            ,1 minutes ago😜
944,              えり            ,どんどん大食いになってる？
945,              Chen Fei            ,I love u
946,              井上かおり            ,うどんが辛そう
947,              ورده الانباري            ,Hello😊😊😊
948,              Denise Kün            ,Hi!
949,              Rohini            ,50 percent coke 50 percent water
950,              экспериментный канал            ,I love you
951,              Тимур Джураев            ,I love you
952,              Тимур Джураев            ,I love you
953,              เม วิลา            ,Thai translate please
954,              ゆさん            ,ご飯粒めっちゃ残してて不快でした
955,              Lidelet Bonifacio            ,Gooooooooooooooood
956,              basma hasan            ,good
957,              lolipuffs            ,earlyyy!!
958,              DREW YT CHANNEL            ,I cant comment in your video but i can comment here 😀
959,              こなSUN            ,天丼だ
960,              Charlotte Queen            ,Yum!
961,              Mahendra Pratap Singh            ,Ma'am try india food
962,              ささふな            ,さくさくだけど手作り？
963,              Astha arobi            ,you will must try Indian food
964,              Blanca Ramos            ,Me encantan tus videos
965,              fiyyna            ,19minutes ago...😩
966,              Umme Aiman            ,What is the fried food platter called?
967,              Vera Nvchks            ,"quer empilhar um monte de comida pra poder encher a boca que ela acaba caindo,,não te preocupa que a comida não vai fugir."
968,              L f            ,Love tempura.  The fish and veggies all look greasy.
969,              Frau Chen            ,Omg one day you’ll get gerd. I’ve just recently been diagnosed with gerd cause my favourite thing in the world is fried and SPICY food. Please eat moderately
970,              Poonam Parashar            ,Please you will try indian food
971,              Dıljin Bilge            ,Hi.
972,              Nicolas br            ,Te amo
973,              ธวัลรัตน์ ธงชัย            ,I like to watching you
974,              Vậy Người ta            ,Why are you not fat ? 😅😅😅
975,              samaya hall            ,this early
976,              ぬぬ            ,天丼、どんぶりの大きさと天ぷらの多さでデカ盛りか？と思ったけど、ご飯の量はそんなんでもないのかな？
977,              다원            ,왜 여기는 라방을 안하나요?
978,              Wang Yirenie            ,Takoyaki pls
979,              Kui Mohnyuk            ,Early!!
980,              Emblerla            ,How many international Boki fans 👇Love you Boki 😊💛
981,              Ahhlexx Benitez            ,Earlyyy
982,              prutha Vakharia            ,Please please please please please please try indian food please
983,              Angelyn Suarez            ,Hi boki
984,              Kris Anne Piaje            ,Hi boki
985,              fly            ,13 s ago
986,              Надюшкина Жизнь            ,Не дури людей
987,              AnyaFlowers! Sushi :3            ,hi
988,              Good family            ,1 comment💬
989,              AJ YT gamer            ,Hi
990,              chanelt sanchez            ,🤢🤢🤢🤢🤢🤢
991,              FAI WATCHARAPORN            ,HI
992,              AJ YT gamer            ,Please say hi
993,              a n            ,ごはん粒の残し方がいつもより汚いな？！？！
994,              Aryan Singh            ,"Pin this comment, I am from INDIA 😊"
995,              Ghulam Abbas            ,Whenever you again uploade the  same video then comments are turned off !!! 🙄🙄 what's the problem ????
996,              Brittany Mendez            ,Second
997,              Michaela abarico            ,Hi
998,              Cassandra Nicole Tunay            ,i liked the moment you droped your food
999,              porjailovely chanel            ,Ninth
1000,              ゆづき            ,ふりかけのかけ方雑すぎる食べ物を粗末に扱い不快もっと大切に食べてほしい
1001,              Tika Mamy            ,É magra de ruim viu...😳
1002,              gpdlffl qkr            ,긍데 무편집본이면 편집이 필요없는데 왜 한꺼번에 못올리는거임..?
1003,              김석진김석진은 잘생겼습니다            ,BOKKIII HIII
1004,              シꨄ ᴍᴇʟᴏᴅʏ ꨄシ            ,e
1005,              Khaled alwadaani            ,First
1006,              Sabrina Mounts            ,don't listen to the haters. you're literally the queen
1007,              Lucia Blanco            ,🤮🤮🤮
1008,              Nansbbgrand            ,"I must tell you, Boki, I really don't like you new videos on  alternate days, where it's (Not ASMR), and you're not texting anything to us, and connecting with us like you always have. But fixing your lipstick, and things, primping in the mirror, behind the camera, I guess. I like it much better when you're just, as if, dining right along with us, enjoying your yummy meals, letting us know how it tastes.. acting like you're at the dining table with us. You wouldn't fix your makeup, and worry about your appearance at the dinner table, would you? Please.. Go back to being fun, and fantastic feasting on your FOOD! LOVE you, Boki! xoxo"
1009,              용사            ,다 뱉을거면서 아직도 방송하네 에휴ㅉㅉ
1010,              mooo mu            ,これを天丼と言わないでほしい。全くの別物。揚げ物丼だろこれ
1011,              ItzNala!            ,HII can u please ping me
1012,              Sharon Begum            ,Not you again fulling the public Boki
1013,              Alien X            ,Mó Fome
1014,              ka zu            ,キムチうどん、ほとんどスープだけじゃん。天孫のご飯も普通の約一膳分だし。器だけ大きくして大食いに見せかけてるだけじゃん。炎上前はもーっと食べてましたよね？　あ、あの量は巧妙な「カット」ありきでしたもんねー。
1015,              Katherine A            ,"Not a judge, but prefer not to have 'haa' sound after each drinking,  it ruins the whole asmr"
1016,              Theresia LHP            ,"So don't make the eating scene too weirdthe point is just enjoy the food by eating it properlyYou don't need to make an attraction that isn't funny but makes you look silly with your eating styleooohh my GOD......it's not funny but it's ridiculous hihihi"
1017,              Sultana E Monjerina            ,Why u just edit at the moment of swallowing?? U chew all the foods  but when  its time to swallow i found u to take the next spoon..just only liquid foods u drink. why? Is it only me or anybody else?
1018,              zippo1213            ,먹다 토할거면 쳐먹지 마세요 ㅡㅡ
1019,              小熊            ,🤮
